type,post_count,text_len_chars,text_len_words,n_urls,n_q,n_excl,n_nonascii_chars,frac_ascii_chars
INTP,50,4467,565,10,20,49,2,0.9995522722184912
INTP,50,8430,1373,3,26,2,24,0.9971530249110321
INFP,50,7233,1188,7,21,5,1,0.9998617447808654
INFP,50,7379,1298,0,2,0,0,1.0
INFP,50,5469,803,12,13,3,1,0.9998171512159444
INFJ,36,6154,1057,4,6,3,2,0.9996750081247969
ENFP,50,6737,1092,3,8,1,0,1.0
INTJ,42,6222,1056,3,13,7,0,1.0
INFJ,50,8298,1366,2,19,9,0,1.0
INFJ,50,6891,1004,14,22,9,5,0.9992744159048034
ENTP,50,4033,607,1,3,6,0,1.0
INTP,50,5418,931,0,6,7,0,1.0
INTP,50,8630,1487,3,11,0,1,0.9998841251448436
INFP,50,5213,843,1,11,27,2,0.9996163437559946
INFP,50,7069,1215,0,5,10,0,1.0
INFJ,50,7184,1229,0,7,3,0,1.0
INTP,50,8181,1306,10,11,7,3,0.9996332966629996
INFP,50,8892,1497,0,12,28,0,1.0
INTP,50,5946,883,20,31,0,3,0.9994954591321897
INFP,50,8896,1585,0,24,17,0,1.0
INFJ,50,4606,792,3,24,0,0,1.0
ENFJ,46,8549,1438,0,17,5,1,0.9998830272546496
ISTP,50,3292,510,1,4,0,1,0.9996962332928311
INTJ,50,8102,1398,1,5,0,0,1.0
INFP,50,8389,1473,0,14,10,0,1.0
ISFP,44,8030,1459,0,6,0,1,0.9998754669987546
ENTJ,50,7428,1254,0,1,45,0,1.0
ENTP,50,6897,1118,0,7,5,0,1.0
ISFP,50,9150,1559,0,5,5,10,0.9989071038251366
ENFP,50,7576,1309,4,21,9,2,0.9997360084477297
INFP,50,8013,1458,0,1,1,0,1.0
ENFP,50,7136,1262,0,4,3,8,0.9988789237668162
ENTP,50,6564,1191,1,19,0,0,1.0
INFP,50,8399,1482,0,5,0,2,0.9997618764138588
INFP,50,7357,1305,2,9,31,0,1.0
ISFP,50,9458,1664,2,7,19,0,1.0
INFP,50,9969,1681,0,11,22,0,1.0
INFJ,50,6596,1190,0,9,31,0,1.0
ENTP,50,8186,1407,0,5,8,3,0.9996335206450037
INFP,50,8140,1439,1,3,8,0,1.0
ISTP,50,6367,1073,4,20,0,0,1.0
INTJ,50,7758,1262,5,11,1,0,1.0
INTP,50,9047,1666,0,6,7,0,1.0
INFJ,46,6798,1176,1,8,28,0,1.0
ISTJ,50,7617,1322,1,18,4,0,1.0
INTJ,50,4434,646,9,13,3,0,1.0
INFP,50,8107,1313,8,16,9,2,0.9997532996176144
INFJ,50,3485,525,3,9,2,0,1.0
INTJ,50,7371,1272,0,29,18,1,0.9998643331976665
ENFJ,50,9131,1533,2,6,4,0,1.0
INFP,50,7905,1443,0,3,2,0,1.0
INFP,50,7225,1270,0,10,6,0,1.0
ISTJ,50,8269,1437,0,14,8,0,1.0
ISTJ,50,9331,1592,2,9,7,0,1.0
ISFP,50,4503,602,12,25,5,2,0.9995558516544526
INFP,50,8656,1472,4,10,3,1,0.9998844731977818
INFJ,50,8402,1482,0,10,44,0,1.0
INFP,50,8287,1330,0,9,1,1,0.9998793290696272
INTP,50,5519,818,10,16,2,1,0.9998188077550281
INFP,50,7765,1278,4,3,2,0,1.0
INTP,50,6952,1254,0,9,2,3,0.9995684695051784
INTJ,21,2256,364,0,1,1,0,1.0
INTJ,50,7956,1363,4,13,3,0,1.0
INFJ,50,8562,1525,2,12,1,0,1.0
INFP,50,9145,1560,0,10,6,0,1.0
INTP,50,8129,1417,7,9,1,0,1.0
INTJ,50,6678,1149,0,4,3,0,1.0
ENFP,50,8687,1522,1,16,19,0,1.0
INFP,50,5789,935,3,20,2,0,1.0
INTP,50,7877,1365,2,14,2,0,1.0
ENTJ,50,9614,1646,0,4,3,0,1.0
INTJ,50,6202,912,14,12,2,0,1.0
INFJ,50,6698,1185,1,4,1,0,1.0
INFP,50,7233,1252,2,20,1,0,1.0
ENTJ,50,8471,1512,3,6,6,0,1.0
INTP,50,8472,1328,11,10,14,2,0.9997639282341831
INTP,50,7679,1343,0,2,1,0,1.0
INFP,50,7988,1450,1,13,5,0,1.0
INTP,50,7814,1286,3,2,0,0,1.0
ENTP,63,6426,1093,3,11,3,0,1.0
INTJ,50,7688,1350,0,12,1,0,1.0
INTP,50,9271,1584,2,19,15,0,1.0
INTJ,50,7074,1190,1,6,5,0,1.0
INFP,42,3729,580,4,6,4,0,1.0
INFJ,50,5775,867,0,1,1,0,1.0
INFJ,50,8369,1421,0,6,3,0,1.0
INFP,50,9585,1645,2,3,3,1,0.9998956703182055
ENFP,50,8746,1448,3,6,0,0,1.0
INTP,50,7840,1461,0,6,15,0,1.0
ISTP,50,8533,1404,10,15,13,0,1.0
INTJ,50,7903,1309,1,21,10,0,1.0
ENFP,50,5340,812,9,10,8,0,1.0
ENFP,50,7568,1246,12,21,2,1,0.9998678646934461
ENTP,50,7420,1262,2,12,10,0,1.0
INTP,50,7057,1101,9,11,5,0,1.0
INFJ,50,8923,1440,7,16,4,1,0.9998879300683626
INTJ,50,8434,1400,0,21,1,1,0.9998814322978421
INFP,50,9316,1642,0,4,9,0,1.0
ENFP,50,9057,1660,0,5,6,1,0.9998895881638512
ENFJ,50,7141,1128,11,12,6,2,0.9997199271810671
ENTP,50,8175,1413,0,26,13,0,1.0
ISFP,50,7803,1384,0,2,9,3,0.9996155324875048
INFP,50,9296,1618,2,12,4,0,1.0
INFP,50,6760,1179,2,10,22,1,0.9998520710059171
INFP,50,7194,1246,5,5,3,0,1.0
INTJ,50,9639,1694,0,2,0,0,1.0
ENTP,50,7994,1416,0,19,12,0,1.0
ENTP,50,6937,1188,5,21,7,0,1.0
INTP,50,6522,1071,4,17,0,0,1.0
INTP,50,8433,1479,0,7,6,0,1.0
INFJ,50,7768,1362,2,7,13,0,1.0
INFJ,50,6017,928,7,16,9,1,0.9998338042213728
INTP,50,8129,1393,1,4,0,0,1.0
ENFP,28,3471,595,2,6,6,0,1.0
INFP,50,9597,1752,0,7,6,2,0.9997916015421486
INTJ,50,8613,1562,4,8,3,0,1.0
INTJ,50,8325,1379,0,5,4,0,1.0
INFP,50,7966,1341,1,8,5,0,1.0
INFP,50,7712,1300,2,4,6,0,1.0
INFP,50,7910,1435,1,12,34,0,1.0
ISFP,50,8227,1355,3,10,48,5,0.9993922450467971
ISFJ,50,9016,1523,4,10,7,0,1.0
INFP,50,6962,1172,0,9,1,1,0.9998563631140477
INTP,50,9118,1530,0,8,14,0,1.0
INFP,50,7188,1211,6,8,0,0,1.0
INTJ,50,7112,1240,0,14,1,0,1.0
INTJ,50,6750,1132,2,2,17,0,1.0
ENTP,50,8575,1403,4,7,5,0,1.0
ENFJ,50,8299,1494,0,5,15,0,1.0
ISFJ,50,6684,1100,3,8,7,15,0.9977558348294434
INTP,50,8805,1519,1,10,6,0,1.0
ISFP,50,8811,1614,0,4,1,0,1.0
ESTP,50,5878,1013,1,6,2,0,1.0
INFP,50,4644,810,0,7,1,0,1.0
INTP,50,6576,1137,3,15,11,0,1.0
INTJ,44,7322,1267,0,6,0,0,1.0
INFP,50,9354,1545,0,2,4,0,1.0
INTJ,50,6654,1015,8,12,20,0,1.0
INFP,50,7726,1345,0,9,9,3,0.9996117007507119
INFP,50,8150,1435,2,20,40,0,1.0
INFJ,50,6965,1233,0,8,21,0,1.0
INFP,42,4289,665,1,6,3,2,0.9995336908370249
ENTP,38,4777,793,6,7,4,0,1.0
INTP,50,7911,1323,4,14,1,0,1.0
INTP,50,6591,1137,0,1,0,0,1.0
INFJ,50,7580,1319,1,12,11,0,1.0
ENFP,50,8260,1429,0,6,18,13,0.9984261501210654
INTJ,50,8182,1419,1,5,6,0,1.0
ENTP,50,5438,919,0,7,3,0,1.0
ENFP,50,8412,1473,1,6,5,0,1.0
INFJ,50,9609,1690,2,1,0,2,0.9997918617962327
ISTJ,50,9831,1766,0,3,0,0,1.0
INFP,50,7552,1348,3,20,8,0,1.0
INFP,50,8581,1421,5,11,2,0,1.0
INFP,50,8156,1407,3,2,6,0,1.0
INTJ,50,8201,1401,3,16,6,0,1.0
INTJ,50,8961,1461,1,8,1,0,1.0
INFP,50,8484,1499,1,4,4,0,1.0
INFJ,50,8667,1567,0,5,4,0,1.0
INFP,50,8931,1562,1,21,13,0,1.0
INFP,33,4631,772,0,0,9,1,0.9997840639170805
ENTP,36,4267,752,0,5,5,0,1.0
INTJ,50,7703,1374,0,5,10,0,1.0
INFP,50,8271,1447,0,10,11,0,1.0
INTJ,50,7315,1283,1,7,6,0,1.0
INTJ,10,1652,277,1,1,1,0,1.0
INFP,50,8714,1491,0,16,11,0,1.0
ENFP,50,9891,1786,0,9,25,0,1.0
ISTP,50,4241,51,45,91,0,0,1.0
INFP,50,8788,1508,0,8,10,0,1.0
ISFP,10,1282,194,1,2,2,0,1.0
INFP,50,8328,1483,0,11,24,0,1.0
ENFP,50,5985,1119,1,8,30,4,0.9993316624895572
ENTJ,58,7969,1440,0,9,3,4,0.9994980549629816
ENFP,66,9126,1629,0,7,0,0,1.0
INFJ,50,6402,1090,4,13,60,0,1.0
INFJ,50,7360,1223,1,7,37,4,0.9994565217391305
ISFP,50,5257,831,8,19,6,0,1.0
INFP,50,6618,1068,3,10,4,0,1.0
INTP,50,7028,1075,9,27,20,1,0.9998577120091064
ESTP,50,6106,1057,3,16,0,0,1.0
ENTP,50,6968,1174,1,17,27,37,0.9946900114810563
ENFP,50,8189,1401,3,6,14,4,0.9995115398705581
INFP,50,5764,905,4,15,1,0,1.0
INFP,50,9317,1551,0,15,8,1,0.9998926693141569
INFJ,50,7799,1316,1,16,29,0,1.0
INTJ,50,9136,1588,0,4,1,0,1.0
ISFP,50,7516,1297,1,12,9,0,1.0
INFJ,48,8925,1547,3,15,0,0,1.0
ISFP,50,8334,1401,2,6,4,0,1.0
INFP,42,6786,1180,1,5,3,0,1.0
ENFP,28,5147,875,3,13,4,2,0.9996114241305615
INTP,50,8169,1419,0,15,0,0,1.0
INFP,23,2256,383,1,0,2,0,1.0
INFJ,50,8218,1449,9,5,6,1,0.9998783158919445
ENFP,50,7522,1314,1,38,10,2,0.999734113267748
INFP,50,8306,1408,4,9,12,0,1.0
INFJ,50,8363,1335,4,9,20,3,0.9996412770536889
INTP,50,7785,1325,0,9,9,0,1.0
INFJ,50,7247,1230,1,12,27,0,1.0
INFJ,50,7622,1378,0,9,7,0,1.0
ISFJ,50,8298,1482,0,16,22,1,0.9998794890335021
INFJ,50,7236,1209,0,14,5,0,1.0
INFP,50,9093,1579,0,11,22,0,1.0
INFJ,37,6707,1137,0,3,3,0,1.0
INFP,50,6255,992,4,4,2,0,1.0
INTP,50,7555,1327,0,2,1,0,1.0
ENTP,50,8476,1438,0,10,1,0,1.0
INTP,50,5874,936,12,1,2,0,1.0
INFJ,50,5288,965,3,8,0,0,1.0
INFJ,50,9319,1562,2,19,14,0,1.0
INTJ,50,6963,1150,1,12,2,0,1.0
INFP,50,6040,916,12,16,3,0,1.0
INFP,50,6631,1185,0,13,13,0,1.0
ENFP,50,6692,1061,3,4,4,0,1.0
INFP,50,3546,435,11,23,1,0,1.0
ESFP,50,1793,223,6,8,1,0,1.0
ISTP,50,4779,813,0,6,1,0,1.0
INFP,50,7099,1230,0,15,19,0,1.0
INTP,50,7669,1322,0,4,0,0,1.0
INFJ,50,7667,1269,1,5,2,0,1.0
ENFJ,50,9121,1575,0,10,21,0,1.0
INFP,50,6047,1058,2,12,22,0,1.0
ENTP,50,8277,1455,1,2,16,0,1.0
INTJ,50,6242,935,12,8,8,4,0.9993591797500802
INFJ,50,7325,1267,0,30,0,0,1.0
INFJ,50,7574,1276,1,7,2,0,1.0
INTP,50,7734,1366,1,1,1,6,0.9992242048099301
ISTP,50,7188,1251,2,8,6,0,1.0
ENFP,44,5364,900,7,12,9,0,1.0
ENFP,50,7455,1232,5,1,7,1,0.9998658618376928
ENFP,50,8605,1562,0,6,29,0,1.0
ENFJ,50,7399,1326,0,6,12,0,1.0
ESTP,50,6294,1106,2,11,11,4,0.9993644741023197
INFJ,50,9335,1679,0,16,1,0,1.0
INTJ,50,8656,1464,2,18,3,2,0.9997689463955638
ENTP,50,8075,1345,4,8,4,0,1.0
INFP,50,7346,1272,0,2,50,0,1.0
INFP,50,8260,1362,7,16,2,0,1.0
INTP,50,6914,1123,4,6,3,0,1.0
INFP,50,4849,795,3,14,2,3,0.9993813157352032
INTJ,50,5866,938,9,32,25,0,1.0
ENTP,50,7632,1261,1,11,4,0,1.0
INTP,50,6704,1136,0,15,6,2,0.9997016706443914
ISTJ,50,7186,1285,0,8,9,0,1.0
INTJ,50,6485,1068,8,23,8,0,1.0
INTJ,50,7522,1411,1,4,4,0,1.0
INTJ,50,5729,971,0,10,6,0,1.0
ENFP,50,9069,1608,2,8,13,0,1.0
ISTP,50,6133,998,5,7,12,0,1.0
INTJ,50,8911,1476,1,5,1,8,0.9991022331949276
INFJ,50,6033,956,5,12,2,0,1.0
INFJ,50,8699,1471,0,7,16,0,1.0
INFP,50,6886,1117,4,10,18,3,0.9995643334301482
INFJ,50,6512,1122,0,2,2,6,0.9990786240786241
INFP,14,2588,456,0,0,0,0,1.0
ENFP,50,6831,1245,0,31,29,0,1.0
ENTP,35,6106,1034,0,2,0,0,1.0
INFJ,50,7854,1389,0,8,5,0,1.0
INFP,50,8983,1633,3,3,4,0,1.0
ISTP,53,7488,1292,0,33,9,1,0.9998664529914529
INFJ,50,8955,1573,0,6,9,0,1.0
ESTP,43,8019,1445,0,14,4,0,1.0
ENFP,50,7888,1420,1,5,12,1,0.9998732251521298
ISTP,50,7433,1320,0,6,0,0,1.0
INFP,50,9502,1670,0,6,7,1,0.9998947589981056
INFJ,47,8005,1450,0,14,21,30,0.9962523422860712
INFP,50,9266,1606,0,29,11,1,0.9998920785668034
INTJ,50,5809,887,12,11,5,1,0.9998278533310381
ENFP,50,8129,1256,10,15,0,1,0.9998769836388239
INFJ,50,6048,993,0,12,13,0,1.0
INTP,50,9184,1533,5,8,9,0,1.0
INTJ,50,9370,1657,0,8,9,0,1.0
INTP,50,8552,1569,0,5,3,0,1.0
ENFP,50,7215,1241,0,6,19,1,0.9998613998613999
INFP,50,7160,1079,22,26,0,1,0.9998603351955307
ENTJ,50,7247,1297,0,17,4,0,1.0
INTP,50,6081,908,8,15,5,0,1.0
INFP,50,9642,1599,1,10,19,0,1.0
INTP,50,8681,1477,0,18,4,0,1.0
INTP,50,7469,1208,2,14,0,1,0.9998661132681751
INFP,50,8193,1432,2,2,8,0,1.0
INFJ,50,6099,989,6,13,0,0,1.0
ENTP,39,3945,689,0,7,1,0,1.0
INFJ,50,8723,1516,1,14,16,0,1.0
INTJ,50,6801,1155,4,5,0,0,1.0
INTJ,50,5430,824,0,1,0,0,1.0
INFJ,50,8523,1481,2,21,15,0,1.0
ENTP,50,7734,1267,5,9,1,0,1.0
INTJ,59,8888,1583,3,22,0,0,1.0
INFP,50,8560,1495,1,11,1,0,1.0
INTP,50,6371,1041,0,11,1,0,1.0
INFP,50,8133,1390,2,9,2,0,1.0
ISFP,50,8872,1578,1,8,25,0,1.0
ISFP,36,4880,860,1,3,21,0,1.0
ISTP,50,5599,924,4,6,14,0,1.0
INTP,50,8157,1454,0,8,13,0,1.0
INTJ,50,7138,1095,2,12,0,1,0.9998599047352199
INFJ,50,8816,1567,0,5,19,0,1.0
ENTJ,50,5302,918,0,7,20,0,1.0
INTJ,50,9084,1600,3,15,4,0,1.0
INFJ,50,9483,1614,1,11,2,3,0.999683644416324
ENFJ,50,8209,1394,4,15,2,0,1.0
INTJ,50,8143,1363,2,20,0,0,1.0
INFJ,50,4718,761,3,8,2,0,1.0
ENTJ,50,8711,1416,3,9,3,0,1.0
INTP,50,6845,1178,2,4,0,3,0.9995617238860482
INTJ,50,7053,563,71,67,5,9,0.9987239472564866
INTJ,50,7819,1323,0,1,0,0,1.0
ISTP,50,6523,1097,1,3,4,0,1.0
INFJ,50,9727,1638,0,7,6,0,1.0
INFP,50,5692,969,1,11,12,0,1.0
INFP,50,7984,1418,0,1,15,0,1.0
INTP,50,8442,1322,9,6,50,0,1.0
INTP,50,6082,970,3,11,1,0,1.0
ESFP,50,7034,1261,0,14,97,0,1.0
INFJ,50,6175,1046,5,4,4,1,0.9998380566801619
INTP,50,7051,1165,0,10,4,0,1.0
INFJ,50,6295,1042,5,15,5,0,1.0
ISFJ,50,8980,1629,1,11,6,0,1.0
ENTJ,50,6318,1031,2,12,2,0,1.0
INFP,50,9137,1604,0,3,0,0,1.0
ENTP,50,6218,1040,1,12,18,2,0.9996783531682213
INFP,25,3203,541,1,3,3,0,1.0
ENFJ,50,5994,1063,1,1,8,0,1.0
INFP,50,6889,1013,21,25,2,0,1.0
INFP,50,6540,1183,0,54,18,0,1.0
ENFP,50,8818,1550,8,12,11,1,0.9998865955999092
